date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:32:32	32944/32944	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Mar%202023%2009:02:22%20GMT	https://p.w3layouts.com/demosWTR/Freedom/30-11-2019/livin-freedom_demo_Free/1835362585/web/index.html	C:/My%20Web%20Sites/livinhomedecore/p.w3layouts.com/demosWTR/Freedom/30-11-2019/livin-freedom_demo_Free/1835362585/web/index.html	(from )
14:32:33	1002/1002	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Mar%202023%2009:02:23%20GMT	https://p.w3layouts.com/robots.txt		(from )
14:32:34	219019/219019	---MCZ	200	added ('OK')	text/css	date:Sat,%2030%20Nov%202019%2013:28:06%20GMT	https://p.w3layouts.com/demosWTR/Freedom/30-11-2019/livin-freedom_demo_Free/1835362585/web/assets/css/style-freedom.css	C:/My%20Web%20Sites/livinhomedecore/p.w3layouts.com/demosWTR/Freedom/30-11-2019/livin-freedom_demo_Free/1835362585/web/assets/css/style-freedom.css	(from https://p.w3layouts.com/demosWTR/Freedom/30-11-2019/livin-freedom_demo_Free/1835362585/web/index.html)
14:32:36	65575/65575	---M-Z	200	added ('OK')	application/javascript	etag:%222aaa4d02f541275fbb5cbde049ab5239%22	http://m.servedby-buysellads.com/monetization.js	C:/My%20Web%20Sites/livinhomedecore/m.servedby-buysellads.com/monetization.js	(from https://p.w3layouts.com/demosWTR/Freedom/30-11-2019/livin-freedom_demo_Free/1835362585/web/index.html)
14:32:38	93100/93100	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	C:/My%20Web%20Sites/livinhomedecore/ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	(from https://p.w3layouts.com/demosWTR/Freedom/30-11-2019/livin-freedom_demo_Free/1835362585/web/index.html)
14:32:38	31000/31000	---MCZ	200	added ('OK')	text/css	date:Wed,%2020%20Jan%202021%2016:54:58%20GMT	https://p.w3layouts.com/assests/css/font-awesome.min.css	C:/My%20Web%20Sites/livinhomedecore/p.w3layouts.com/assests/css/font-awesome.min.css	(from https://p.w3layouts.com/demosWTR/Freedom/30-11-2019/livin-freedom_demo_Free/1835362585/web/index.html)
14:32:38	32259/32259	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Mar%202023%2009:02:29%20GMT	https://p.w3layouts.com/demosWTR/Freedom/30-11-2019/livin-freedom_demo_Free/1835362585/web/about.html	C:/My%20Web%20Sites/livinhomedecore/p.w3layouts.com/demosWTR/Freedom/30-11-2019/livin-freedom_demo_Free/1835362585/web/about.html	(from https://p.w3layouts.com/demosWTR/Freedom/30-11-2019/livin-freedom_demo_Free/1835362585/web/index.html)
14:32:39	30120/30120	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Mar%202023%2009:02:29%20GMT	https://p.w3layouts.com/demosWTR/Freedom/30-11-2019/livin-freedom_demo_Free/1835362585/web/services.html	C:/My%20Web%20Sites/livinhomedecore/p.w3layouts.com/demosWTR/Freedom/30-11-2019/livin-freedom_demo_Free/1835362585/web/services.html	(from https://p.w3layouts.com/demosWTR/Freedom/30-11-2019/livin-freedom_demo_Free/1835362585/web/index.html)
14:32:39	22414/22414	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Mar%202023%2009:02:30%20GMT	https://p.w3layouts.com/demosWTR/Freedom/30-11-2019/livin-freedom_demo_Free/1835362585/web/team.html	C:/My%20Web%20Sites/livinhomedecore/p.w3layouts.com/demosWTR/Freedom/30-11-2019/livin-freedom_demo_Free/1835362585/web/team.html	(from https://p.w3layouts.com/demosWTR/Freedom/30-11-2019/livin-freedom_demo_Free/1835362585/web/index.html)
14:32:39	22854/22854	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Mar%202023%2009:02:30%20GMT	https://p.w3layouts.com/demosWTR/Freedom/30-11-2019/livin-freedom_demo_Free/1835362585/web/team-single.html	C:/My%20Web%20Sites/livinhomedecore/p.w3layouts.com/demosWTR/Freedom/30-11-2019/livin-freedom_demo_Free/1835362585/web/team-single.html	(from https://p.w3layouts.com/demosWTR/Freedom/30-11-2019/livin-freedom_demo_Free/1835362585/web/index.html)
